,algo_name,ant,humanoid
0,ME_exploit,    4183.0±     935.8,      46.6±      17.9
1,ME_explore_exploit,    5237.9±    1408.3,      49.5±      27.6
2,ME_no_selection_eval,    2180.0±    1139.0,      44.1±      22.7
3,ME_no_selection,    2381.5±     760.6,      65.2±      30.6
4,ME-MM_exploit,    5288.7±    1810.5,      42.1±      12.8
5,ME-ND_exploit,    5298.0±    1610.6,      54.8±      40.2
6,ME-MM_explore_exploit,    3800.2±     881.9,      48.4±      20.6
7,ME-ND_explore_exploit,    3519.8±    1103.3,      46.8±      20.3
8,ME-MM_full,    2252.7±    1218.7,      56.0±      30.1
9,ME-ND_full,    2777.9±     377.5,      83.5±      38.7
