,algo_name,ant,humanoid
0,ES,      63.9±       3.5,       9.8±       0.0
1,E-ES,      26.0±       6.2,       8.3±       0.9
2,QE-ES,      40.4±       5.5,       8.3±       2.0
3,QDE-ES,      46.7±       8.4,       6.3±       0.6
4,ME_exploit,      75.0±       4.0,      10.8±       3.5
5,ME_explore_exploit,      50.4±       4.3,      10.3±       2.6
6,ME_no_selection_eval,      37.0±      11.5,      10.0±       1.8
7,ME_no_selection,      43.4±       3.8,      10.4±       1.0
8,ME-MM_exploit,      50.6±       4.9,      10.8±       2.1
9,ME-ND_exploit,      50.8±       6.7,      10.7±       2.4
10,ME-MM_explore_exploit,      74.4±       6.4,      11.4±       2.0
11,ME-ND_explore_exploit,      74.6±      12.1,      12.0±       2.7
12,ME-MM_full,      39.5±      11.8,      10.5±       1.1
13,ME-ND_full,      45.1±       3.3,      11.4±       1.4
